;;;Histórico das Modificações;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Revisão;;Data da Revisão;;Revisor;;;;Descrição da Revisão;;;;;;Necessidade de Treinamento;
0;;15/05/2025;;Anna Júlia Sousa ;;;;Criação;;;;;;SIM;
1;;15/07/2025;;Anna Júlia Sousa ;;;;Implementação P02H;;;;;;SIM;
2;;14/04/2025;;Caio Cabral ;;;;Modificação/Ajustes de regra de reação;;;;;;SIM;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
