Instrução de POKAYOKE - BDIA;;;;;;;;;;;
JIT;Perímetro;JPR-I-PSS;Standard;Status;Data p/ Fechamento;;;;;;
BDIA;Posto 3;JPR-I-PSS-2025; Instrução de PY - Inversão do Encosto;Ativo;;;;;;;
BDIA;Posto 4;JPR-I-PSS-1549;Instrução de PY - Junção Assento/Encosto;Rascunho;;;;;;;
BDIA;Posto 8;JPR-I-PSS-1954;Instrução de PY - Concatenação Airbag;Pendente;;;;;;;
BDIA;Posto 9;JPR-I-PSS-1550; Instrução de PY - Parafusamento Airbag/CNF APC/Aplicador de Molicote;Ativo;;;;;;;
BDIA;Posto 10;JPR-I-PSS-1551;Instrução de PY - Fecho De Cinto;Ativo;;;;;;;
BDIA;Posto 11;JPR-I-PSS-1969;Instrução de PY - Guia APC;Rascunho;;;;;;;
BDIA;Posto 12;JPR-I-PSS-1972;Instrução de PY - PY - Câmera da rota do chicote;Rascunho;22/jul;;;;;; 
BDIA;Posto Inspeção Final Funcional;JPR-I-PSS-1552;Instrução de PY Inspeção final;Pendente;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Instrução de POKAYOKE - BTR;;;;;;;;;;;
JIT;Perímetro;JPR-I-PSS;Standard;Status;Data p/ fechamento;;;;;;
BTR;Preparação da Estrutura;JPR-I-PSS-1554;PREPARAÇÃO DE ESTRUTURA NISSAN;Pendente;;;;;;;
BTR;Posto 6;JPR-I-PSS-1993;Aplicador de Molicote;Ativo;;;;;;;
BTR;Posto 7;JPR-I-PSS-2024;Instrução de PY PREPARAÇÃO APB;Pendente;;;;;;;
BTR;Posto Inspeção Final - P13C;JPR-I-PSS-1555;INSPEÇÃO FINAL BTR NISSAN P02H;Ativo;;;;;;;
BTR;Posto Inspeção Final - P02H;JPR-I-PSS-1981;INSPEÇÃO FINAL BTR NISSAN P13C;Ativo;;;;;;;
;.;;;;;;;;;;
